ID Question DOMANDA|Objective OBIETTIVO|Instructions ISTRUZIONI|Question DOMANDA|Question time TEMPO DELLA DOMANDA|Answer RISPOSTA|Is correct é CORRETTO
1|Scritto|Scegli la risposta corretta per completare il testo:|Perché elena mi _____ cosi tardi ieri sera?|60|telefonava|0
|||||ha telefonato|1
|||||telefono|0
|||||telefona|0
2|Scritto|Scegli la risposta corretta per completare il testo:|La mia famiglia ha vissuto in nuova zelanda _____ cinque anni.|60|dal|0
|||||mentre|0
|||||per|1
|||||durante|0
3|Scritto|Scegli la risposta corretta per completare il testo:|Se lorenzo vivesse a parigi, lo _____ molto piu' spesso.|60|vedevo|0
|||||vedo|0
|||||vedrei|1
|||||avevo visto|0
4|Scritto|Scegli la risposta corretta per completare il testo:|Lei é la mia migliore amica. noi ci _____ da quando eravamo bambine.|60|ebbi conosciuto|0
|||||conoscevo|0
|||||conosci|0
|||||conosciamo|1
5|Scritto|Scegli la risposta corretta per completare il testo:|Lo studente non ha superato l'esame _____ il suo grande sforzo.|60|mentre|0
|||||sebbene|0
|||||nonostante|1
|||||tranne|0
6|Scritto|Scegli la risposta corretta per completare il testo:|Di chi é questa macchina? é _____.|60|la mia|1
|||||me|0
|||||suo|0
|||||a me|0
7|Scritto|Scegli la risposta corretta per completare il testo:|Quando _____ incontrarci per un pranzo?|60|vogliamo|0
|||||tu hai|0
|||||se vuoi|1
|||||sei tu|0
8|Scritto|Scegli la risposta corretta per completare il testo:|Puoi scegliere se _____ a casa o venire con noi.|60|rimango|0
|||||rimanere|1
|||||rimanuto|0
|||||rimanevo|0
9|Scritto|Scegli la risposta corretta per completare il testo:|Elena usci' per _____ una telefonata.|60|produrre|0
|||||realizzare|0
|||||eseguivo|0
|||||fare|1
10|Scritto|Scegli la risposta corretta per completare il testo:|Oggi _____ lorenzo pulisca la sua camera perchè l'ha già fatto ieri.|60|non devi|0
|||||non era in grado di|0
|||||non é necessario che|1
|||||non farlo|0
11|Scritto|Scegli la risposta corretta per completare il testo:|Luca ha avuto un voto migliore all'esame perchè le sue risposte erano piu' dettagliate _____.|60|quelle mie|0
|||||delle mie|1
|||||di me|0
|||||quelle di me|0
12|Scritto|Scegli la risposta corretta per completare il testo:|Quando sono uscito di casa, _____.|60|stava nevicando|1
|||||nevica|0
|||||nevicavo|0
|||||é nevicato|0
13|Scritto|Scegli la risposta corretta per completare il testo:|non abbiamo potuto assistere al concerto perchè _____ i nostri biglietti|60|non avevamo portato|1
|||||non preso|0
|||||prendevamo|0
|||||prendevi|0
14|Scritto|Scegli la risposta corretta per completare il testo:|Questo libro é _____ mio fratello.|60|a|0
|||||di|1
|||||in|0
|||||da|0
15|Scritto|Scegli la risposta corretta per completare il testo:|Paolo _____ la lingua francese per quattro anni.|60|studia|0
|||||studiamo|0
|||||ha studiato|1
|||||stavo studiando|0
16|Scritto|Scegli la risposta corretta per completare il testo:|Elisa é una studentessa. per guadagnare soldi, lavora _____ l'estate.|60|durante|1
|||||mentre|0
|||||in|0
|||||dal|0
17|Scritto|Scegli la risposta corretta per completare il testo:|I miei genitori vivono lontano, percio' li vedo _____.|60|di solito|0
|||||raramente|1
|||||spesso|0
|||||sempre|0
18|Scritto|Scegli la risposta corretta per completare il testo:|Se non _____ alla festa, non avrei incontrato sara.|60|vado|0
|||||andavo|0
|||||fossi andato|1
|||||andando|0
19|Scritto|Scegli la risposta corretta per completare il testo:|Quando inizia il nuovo semestre? inizia _____ gennaio.|60|il secondo|0
|||||il primo giorno|0
|||||il due|0
|||||il secondo di|1
20|Scritto|Scegli la risposta corretta per completare il testo:|Giovanni ha postulato una domanda di lavoro per un'azienda _____ produce e vende pezzi di computer.|60|quello|0
|||||chi|0
|||||che|1
|||||cosa|0
21|Scritto|Scegli la risposta corretta per completare il testo:|Si parlava di licenziamento economico, ma per fortuna tutti _____ il proprio posto di lavoro.|60|ho mantenuto|0
|||||non posso|0
|||||posso|0
|||||hanno mantenuto|1
22|Scritto|Scegli la risposta corretta per completare il testo:|Elena andrebbe volentieri a trovare la sua famiglia, ma non ha _____ il tempo _____ i soldi.|60|non|0
|||||per|0
|||||nè|1
|||||con|0
23|Scritto|Scegli la risposta corretta per completare il testo:|Se piove, noi _____ in spiaggia.|60|andremo|0
|||||non andremo|1
|||||non vado|0
|||||vado|0
24|Scritto|Scegli la risposta corretta per completare il testo:|A me non interessa _____ la tua versione.|60|da ascoltare|0
|||||ascoltiamo|0
|||||ascolto|0
|||||ascoltare|1
25|Scritto|Scegli la risposta corretta per completare il testo:|Sara studiava _____ marco cucinava la cena.|60|durante|0
|||||per|0
|||||mentre|1
26|Scritto|Scegli la risposta corretta per completare il testo:|Prima di andare a fare la spesa, io _____ alla mia compagna di stanza se avesse bisogno di qualcosa.|60|so|0
|||||ho chiesto|1
|||||domanda|0
|||||chiedere|0
27|Scritto|Scegli la risposta corretta per completare il testo:| _____ ha scelto di far parte del tuo comitato?|60|chi|1
|||||a chi|0
|||||quando|0
|||||purchè|0
28|Scritto|Scegli la risposta corretta per completare il testo:|Se compri il regalo, io lo _____ per te.|60|confezionero'|1
|||||confezionare|0
|||||confezionato|0
|||||confeziono'|0
29|Scritto|Scegli la risposta corretta per completare il testo:| _____ qualcosa che non va nel mio computer. non funqiona correttamente.|60|è|0
|||||posso|0
|||||c'è|1
|||||non c'è|0
30|Scritto|Scegli la risposta corretta per completare il testo:|Carlo lavora _____ qui, ma in questo momento non c'é.|60|normale|0
|||||é normalmente da|0
|||||normalmente|1
|||||mai|0
