N° QUESTION (N° ВОПРОСА)|OBJECTIVE (ЦЕЛЬ)|INSTRUCTIONS (ИНСТРУКЦИИ)|QUESTION (ВОПРОС)|QU TIME (ВРЕМЯ ОТВЕТА)|OPT ANSWER (ВАРИАНТЫ ОТВЕТОВ)|IS CORRECT (ПРАВИЛЬНЫЙ ОТВЕТ)|POINTS (БАЛЛЫ)|
1|грамматика|Выберите правильный ответ|До отхода поезда _____ полчаса, успеем вы пить по чашечке кофе.|20|остались|0|0|
|||||остаются|0|0|
|||||осталось|1|1|
|||||останутся|0|0|
2|грамматика|Выберите правильный ответ|В библиотеке современной поэзии, которую я начал собирать, _____ около 500 книг.|20|насчитывались|0|0|
|||||насчитываются|0|0|
|||||насчитывается|1|1|
|||||насчитается|0|0|
3|грамматика|Выберите правильный ответ|Приведенные Вами доказательства представляются мне  _____.|20|неубедительные .|0|0|
|||||не убедительно.|0|0|
|||||не убедительны.|0|0|
|||||неубедительными.|1|1|
4|грамматика|Выберите правильный ответ|Мы пришли на встречу с писателем _____ и поэтому смогли занять места поближе к сцене.|20|первых|0|0|
|||||первыми|1|1|
|||||первый|0|0|
|||||первым|0|0|
5|грамматика|Выберите правильный ответ|Хорошо, если ваши желания соответствуют  _____.|20|вашим возможностям .|1|1|
|||||вашими возможностями.|0|0|
|||||для ваших возможностей.|0|0|
|||||с вашими возможностями.|0|0|
6|грамматика|Выберите правильный ответ|Растущая конкуренция влияет _____ качества продукции.|20|для улучшения|0|0|
|||||улучшением|0|0|
|||||улучшение|1|1|
|||||на улучшение|0|0|
7|грамматика|Выберите правильный ответ|Когда я читала вашу работу, я не заметила в ней  _____.|20|недостатки.|0|0|
|||||недостатков.|1|1|
|||||недостаток.|0|0|
|||||недостаткам.|0|0|
8|грамматика|Выберите правильный ответ|Эта страна богата  _____.|20|с замечательными традициями.|0|0|
|||||замечательных традиций.|0|0|
|||||замечательными традициями.|1|1|
|||||замечательным традициям.|0|0|
9|грамматика|Выберите правильный ответ|Все, что Вы написали, противоположно _____ Ваших коллег.|20|точка зрения|0|0|
|||||точкой зрения|0|0|
|||||точке зрения|1|1|
|||||с точкой зрения|0|0|
10|грамматика|Выберите правильный ответ|Природа и климат юга России благо- приятны _____ сельским хозяйством.|20|занятиям|0|0|
|||||для занятий|1|1|
|||||в занятиях|0|0|
|||||занятиям|0|0|
11|грамматика|Выберите правильный ответ|Я был очень удивлен _____ своих коллег.|20|замечаний|0|0|
|||||замечания|0|0|
|||||замечаниях|0|0|
|||||замечаниями|1|1|
12|грамматика|Выберите правильный ответ|Соревнования продолжались  _____.|20|с утра до вечера.|1|1|
|||||с утра по вечер.|0|0|
|||||утро и вечер.|0|0|
|||||с утра к вечеру.|0|0|
13|грамматика|Выберите правильный ответ|Остановки для отдыха гонщики делали всего  _____.|20|несколько минут.|0|0|
|||||за несколько минут.|0|0|
|||||на несколько минут.|1|1|
|||||в несколько минут.|0|0|
14|чтение|Выберите правильный ответ|Участники очень увлеклись игровым моментом. Серьезного разговора, может быть, и не получилось. Но россияне и немцы познакомились, лучше узнали друг друга, захотели в дальнейшем поддерживать контакты. И это, наверное, стало главным итогом прошедшей встречи. Встреча … .|60|сблизила молодых людей|1|1|
|||||помогла решить многие проблемы|0|0|
|||||была малоэффективна|0|0|
|||||разозлила участников|0|0|
15|чтение|Выберите правильный ответ|Шла очередная конференция «Мульхаймская инициатива». Ее гостями были молодые политики, бизнесмены, журналисты из Москвы, Пскова, Вологды. В начале конференции немецкий социолог сделал небольшое сообщение о проблемах экологического самосознания, что вызвало бурную дискуссию. Российская молодежь шумно реагировала на высказанные предложения отказаться от регулярного использования автотранспорта, максимально ограничить потребление электроэнергии, не покупать новую одежду и бытовую технику. Мнения участников встречи по вопросам экологии ... .|60|частично разошлись|1|1|
|||||совпали|0|0|
|||||абсолютно разошлись|0|0|
|||||не высказывались|0|0|
16|Аудирование|Где рассказчик, художник Грабарь, познакомился с Чайковским?||100|На концерте|0|0|
|||||В гостях у общих знакомых|1|1|
|||||На улице|0|0|
17|Аудирование|Чем занималась хозяйка дома, куда был приглашен художник?||90|Она была оперной певицей|1|1|
|||||Она была балериной|0|0|
|||||Она была домохозяйкой|0|0|
18|Аудирование|Какими были диалектные особенности жителей Вологды?||140|лексическими|0|0|
|||||фонетическими|1|1|
|||||и лексическими, и фонетическими|0|0|
19|Аудирование|Почему Иван Грозный часто бывал в Вологде?||130|Он любил молиться в Софийском соборе|0|0|
|||||Он видел ее столичным городом|1|1|
|||||Он любил вологодские храмы|0|0|
20|Аудирование|Что случилось во время службы в Софийском соборе?||130|иконописцы расписывали церковный потолок|0|0|
|||||из потолка выпал кирпич|1|1|
|||||царь был напуган большим скоплением народа|0|0|
